t, time(sec), Ek, Vmax
20 9.761 0.276924 -0.276669
25 12.196 0.276916 -0.276675
30 14.601 0.276908 -0.27668
35 17.38 0.2769 -0.276684
40 19.975 0.276893 -0.276688
45 22.795 0.276886 -0.276692
50 25.532 0.27688 -0.276696
55 27.733 0.276874 -0.276699
60 29.747 0.276868 -0.276702
65 31.996 0.276862 -0.276705
70 34.112 0.276857 -0.276708
75 36.365 0.276852 -0.276711
80 38.574 0.276848 -0.276714
85 40.676 0.276843 -0.276716
90 43.643 0.276839 -0.276718
95 46.503 0.276835 -0.27672
100 48.934 0.276831 -0.276722
105 51.693 0.276827 -0.276724
110 54.74 0.276824 -0.276726
115 57.6 0.276821 -0.276727
120 60.16 0.276818 -0.276729
125 62.886 0.276815 -0.27673
130 65.462 0.276812 -0.276732
135 68.071 0.276809 -0.276733
140 70.157 0.276807 -0.276734
145 72.432 0.276805 -0.276736
150 74.727 0.276802 -0.276737
155 77.093 0.2768 -0.276738
160 79.23 0.276798 -0.276739
165 81.441 0.276797 -0.27674
170 83.652 0.276795 -0.27674
175 85.785 0.276793 -0.276741
180 87.945 0.276791 -0.276742
185 90.078 0.27679 -0.276743
190 92.457 0.276789 -0.276743
195 94.722 0.276787 -0.276744
200 97.077 0.276786 -0.276745
205 99.888 0.276785 -0.276745
210 102.053 0.276784 -0.276746
215 104.122 0.276783 -0.276746
220 106.497 0.276782 -0.276747
225 108.761 0.276781 -0.276747
230 110.968 0.27678 -0.276748
235 112.973 0.276779 -0.276748
240 115.164 0.276778 -0.276748
245 117.281 0.276777 -0.276749
250 119.65 0.276776 -0.276749
255 121.932 0.276776 -0.276749
260 123.946 0.276775 -0.27675
265 126.203 0.276774 -0.27675
270 128.659 0.276774 -0.27675
275 130.658 0.276773 -0.276751
280 132.753 0.276773 -0.276751
285 134.784 0.276772 -0.276751
290 136.939 0.276772 -0.276751
295 139.048 0.276771 -0.276752
300 141.725 0.276771 -0.276752
305 144.92 0.276771 -0.276752
310 147.952 0.27677 -0.276752
315 151.3 0.27677 -0.276752
320 154.49 0.27677 -0.276752
325 156.942 0.276769 -0.276753
330 159.196 0.276769 -0.276753
335 161.488 0.276769 -0.276753
340 164.387 0.276768 -0.276753
345 167.444 0.276768 -0.276753
350 169.612 0.276768 -0.276753
355 171.665 0.276768 -0.276753
360 173.977 0.276767 -0.276753
t, time(sec), Ek, Vmax
0.0005 0.02 0.276767 -0.276753
5 2.857 0.270016 -0.269969
10 5.67 0.270029 -0.269983
15 7.938 0.270025 -0.269991
20 10.223 0.270017 -0.269996
25 12.326 0.270008 -0.270001
30 14.999 0.269999 -0.270005
35 18.066 0.26999 -0.270009
40 21.674 0.269982 -0.270012
45 26.558 0.269974 -0.270015
50 29.336 0.269966 -0.270018
55 31.415 0.269959 -0.270021
60 33.698 0.269952 -0.270024
65 35.904 0.269946 -0.270026
70 38.075 0.26994 -0.270028
75 40.354 0.269934 -0.270031
80 42.502 0.269928 -0.270033
85 45.079 0.269923 -0.270034
90 48.354 0.269918 -0.270036
95 50.436 0.269913 -0.270038
100 52.638 0.269909 -0.27004
105 54.686 0.269905 -0.270041
110 57.195 0.269901 -0.270042
115 59.611 0.269897 -0.270044
120 61.936 0.269893 -0.270045
125 64.064 0.26989 -0.270046
130 66.242 0.269887 -0.270047
135 68.544 0.269884 -0.270048
140 70.659 0.269881 -0.270049
145 73.083 0.269878 -0.27005
150 76.187 0.269875 -0.270051
155 78.756 0.269873 -0.270052
160 81.129 0.269871 -0.270053
165 83.594 0.269868 -0.270053
170 85.807 0.269866 -0.270054
175 88.096 0.269864 -0.270055
180 90.529 0.269862 -0.270055
185 93.603 0.269861 -0.270056
190 96.556 0.269859 -0.270056
195 99.732 0.269857 -0.270057
200 102.401 0.269856 -0.270057
205 104.799 0.269854 -0.270058
210 107.039 0.269853 -0.270058
215 109.317 0.269852 -0.270059
220 111.419 0.26985 -0.270059
225 113.688 0.269849 -0.27006
230 116.67 0.269848 -0.27006
235 119.421 0.269847 -0.27006
240 121.729 0.269846 -0.27006
245 123.835 0.269845 -0.270061
250 125.985 0.269844 -0.270061
255 128.19 0.269844 -0.270061
260 130.431 0.269843 -0.270062
265 132.743 0.269842 -0.270062
270 135.157 0.269841 -0.270062
275 137.574 0.269841 -0.270062
t, time(sec), Ek, Vmax
0.0005 0.017 0.26984 -0.270062
5 2.334 0.262944 -0.263125
10 4.381 0.262956 -0.263139
15 6.663 0.262951 -0.263146
20 9.486 0.262941 -0.263151
25 11.671 0.26293 -0.263154
30 13.941 0.262919 -0.263158
35 15.964 0.262909 -0.26316
40 18.484 0.262899 -0.263163
45 21.893 0.262889 -0.263166
50 24.85 0.26288 -0.263168
55 27.382 0.262871 -0.26317
60 30.316 0.262863 -0.263172
65 33.086 0.262855 -0.263174
70 36.546 0.262848 -0.263175
75 40.266 0.262841 -0.263177
80 43.083 0.262834 -0.263179
85 45.74 0.262828 -0.26318
90 48.844 0.262822 -0.263181
95 51.444 0.262816 -0.263183
100 53.718 0.262811 -0.263184
105 56.042 0.262806 -0.263185
110 58.281 0.262801 -0.263186
115 60.526 0.262797 -0.263187
120 62.791 0.262792 -0.263188
125 65.193 0.262788 -0.263189
130 67.748 0.262784 -0.263189
135 70.689 0.26278 -0.26319
140 73.077 0.262777 -0.263191
145 75.664 0.262774 -0.263191
150 77.902 0.26277 -0.263192
