x, y, ksi, T
#iter= 1
2.95 0.1 -0.0359641 0.866902 
3 0.1 -0.037465 0.851154 
3.05 0.1 -0.0376233 0.835897 
3.1 0.1 -0.0364599 0.821562 
3.15 0.1 -0.0340327 0.808485 
3.2 0.1 -0.0304343 0.796942 
3.25 0.1 -0.025791 0.787157 
3.3 0.1 -0.0202607 0.779315 
3.35 0.1 -0.0140315 0.773567 
3.4 0.1 -0.0073164 0.770025 
3.45 0.1 -0.000347196 0.76876 
3.5 0.1 0.0066341 0.769797 
3.55 0.1 0.013385 0.773115 
3.6 0.1 0.0196723 0.778648 
3.65 0.1 0.0252808 0.786288 
3.7 0.1 0.0300198 0.795888 
3.75 0.1 0.0337282 0.807265 
3.8 0.1 0.0362767 0.820199 
3.85 0.1 0.0375693 0.834423 
3.9 0.1 0.0375446 0.849604 
3.95 0.1 0.0361781 0.865325 
4 0.1 0.0334858 0.881055 
4.05 0.1 0.0295299 0.896132 
4.1 0.1 0.0244245 0.909774 
4.15 0.1 0.018339 0.921127 
4.2 0.1 0.0114983 0.92936 
4.25 0.1 0.00417491 0.933797 
4.3 0.1 -0.00332531 0.934049 
4.35 0.1 -0.0106839 0.930093 
4.4 0.1 -0.0175926 0.922283 
4.45 0.1 -0.0237749 0.911271 
4.5 0.1 -0.0290012 0.897875 
4.55 0.1 -0.0330969 0.882954 
4.6 0.1 -0.0359443 0.867301 
4.65 0.1 -0.0374786 0.85159 
4.7 0.1 -0.037683 0.836363 
4.75 0.1 -0.0365834 0.822045 
4.8 0.1 -0.034244 0.808968 
4.85 0.1 -0.0307639 0.79739 
4.9 0.1 -0.0262703 0.787516 
4.95 0.1 -0.0208992 0.779507 
5 0.1 -0.0147343 0.773516 
0 0.15 -0.0409098 0.675192 
0.05 0.15 -0.0285885 0.666411 
0.1 0.15 -0.0151386 0.660967 
0.15 0.15 -0.0011633 0.659008 
0.2 0.15 0.0128052 0.660547 
0.25 0.15 0.0262731 0.665519 
0.3 0.15 0.03878 0.673797 
0.35 0.15 0.0499053 0.685196 
0.4 0.15 0.0592782 0.699484 
0.45 0.15 0.0665858 0.716377 
0.5 0.15 0.0715781 0.735543 
0.55 0.15 0.0740714 0.756588 
0.6 0.15 0.0739516 0.779028 
0.65 0.15 0.0711789 0.802254 
0.7 0.15 0.0657949 0.825491 
0.75 0.15 0.0579323 0.847768 
0.8 0.15 0.0478245 0.867927 
0.85 0.15 0.0358115 0.884696 
0.9 0.15 0.0223373 0.896828 
0.95 0.15 0.00793543 0.903311 
1 0.15 -0.00679938 0.903561 
1.05 0.15 -0.0212494 0.897556 
1.1 0.15 -0.0348166 0.885838 
1.15 0.15 -0.0469617 0.869397 
1.2 0.15 -0.0572333 0.849466 
1.25 0.15 -0.0652833 0.827323 
1.3 0.15 -0.0708707 0.80414 
1.35 0.15 -0.073856 0.780902 
1.4 0.15 -0.0741922 0.7584 
1.45 0.15 -0.0719147 0.737255 
1.5 0.15 -0.0671346 0.717958 
1.55 0.15 -0.0600336 0.700911 
1.6 0.15 -0.0508614 0.686446 
1.65 0.15 -0.0399321 0.674847 
1.7 0.15 -0.0276188 0.666343 
1.75 0.15 -0.0143451 0.66111 
